--------------------NEW LOG--------------------
Logger started at: 2021-9-23 13:36:43
	Number of epochs :	4000
	Learning Rate :	0.01
	Input size : 1
Validation Loss Decreased(0.00971--->0.00969) 	 Saving The Model
Validation Loss Decreased(0.00969--->0.00968) 	 Saving The Model
Validation Loss Decreased(0.00968--->0.00966) 	 Saving The Model
Validation Loss Decreased(0.00966--->0.00964) 	 Saving The Model
Validation Loss Decreased(0.00964--->0.00963) 	 Saving The Model
Validation Loss Decreased(0.00963--->0.00961) 	 Saving The Model
Validation Loss Decreased(0.00961--->0.00960) 	 Saving The Model
Validation Loss Decreased(0.00960--->0.00958) 	 Saving The Model
Validation Loss Decreased(0.00958--->0.00957) 	 Saving The Model
Validation Loss Decreased(0.00957--->0.00955) 	 Saving The Model
Validation Loss Decreased(0.00955--->0.00954) 	 Saving The Model
Validation Loss Decreased(0.00954--->0.00952) 	 Saving The Model
Validation Loss Decreased(0.00952--->0.00951) 	 Saving The Model
Validation Loss Decreased(0.00951--->0.00950) 	 Saving The Model
Validation Loss Decreased(0.00950--->0.00948) 	 Saving The Model
Validation Loss Decreased(0.00948--->0.00947) 	 Saving The Model
Validation Loss Decreased(0.00947--->0.00945) 	 Saving The Model
Validation Loss Decreased(0.00945--->0.00944) 	 Saving The Model
Validation Loss Decreased(0.00944--->0.00943) 	 Saving The Model
Validation Loss Decreased(0.00943--->0.00941) 	 Saving The Model
Validation Loss Decreased(0.00941--->0.00940) 	 Saving The Model
Validation Loss Decreased(0.00940--->0.00939) 	 Saving The Model
Validation Loss Decreased(0.00939--->0.00938) 	 Saving The Model
Validation Loss Decreased(0.00938--->0.00936) 	 Saving The Model
Validation Loss Decreased(0.00936--->0.00935) 	 Saving The Model
Validation Loss Decreased(0.00935--->0.00934) 	 Saving The Model
Validation Loss Decreased(0.00934--->0.00933) 	 Saving The Model
Validation Loss Decreased(0.00933--->0.00932) 	 Saving The Model
Validation Loss Decreased(0.00932--->0.00931) 	 Saving The Model
Validation Loss Decreased(0.00931--->0.00930) 	 Saving The Model
Validation Loss Decreased(0.00930--->0.00929) 	 Saving The Model
Validation Loss Decreased(0.00929--->0.00928) 	 Saving The Model
Validation Loss Decreased(0.00928--->0.00927) 	 Saving The Model
Validation Loss Decreased(0.00927--->0.00926) 	 Saving The Model
Validation Loss Decreased(0.00926--->0.00925) 	 Saving The Model
Epoch 200 		 Training Loss: 0.01136 		 Validation Loss: 0.00924
Validation Loss Decreased(0.00925--->0.00924) 	 Saving The Model
Validation Loss Decreased(0.00924--->0.00923) 	 Saving The Model
Validation Loss Decreased(0.00923--->0.00922) 	 Saving The Model
Validation Loss Decreased(0.00922--->0.00921) 	 Saving The Model
Validation Loss Decreased(0.00921--->0.00920) 	 Saving The Model
Validation Loss Decreased(0.00920--->0.00920) 	 Saving The Model
Validation Loss Decreased(0.00920--->0.00919) 	 Saving The Model
Validation Loss Decreased(0.00919--->0.00918) 	 Saving The Model
Validation Loss Decreased(0.00918--->0.00917) 	 Saving The Model
Validation Loss Decreased(0.00917--->0.00917) 	 Saving The Model
Validation Loss Decreased(0.00917--->0.00916) 	 Saving The Model
Validation Loss Decreased(0.00916--->0.00915) 	 Saving The Model
Validation Loss Decreased(0.00915--->0.00915) 	 Saving The Model
Validation Loss Decreased(0.00915--->0.00914) 	 Saving The Model
Validation Loss Decreased(0.00914--->0.00914) 	 Saving The Model
Validation Loss Decreased(0.00914--->0.00913) 	 Saving The Model
Validation Loss Decreased(0.00913--->0.00913) 	 Saving The Model
Validation Loss Decreased(0.00913--->0.00912) 	 Saving The Model
Validation Loss Decreased(0.00912--->0.00912) 	 Saving The Model
Validation Loss Decreased(0.00912--->0.00911) 	 Saving The Model
Validation Loss Decreased(0.00911--->0.00911) 	 Saving The Model
Validation Loss Decreased(0.00911--->0.00910) 	 Saving The Model
Validation Loss Decreased(0.00910--->0.00910) 	 Saving The Model
Validation Loss Decreased(0.00910--->0.00909) 	 Saving The Model
Validation Loss Decreased(0.00909--->0.00909) 	 Saving The Model
Validation Loss Decreased(0.00909--->0.00908) 	 Saving The Model
Validation Loss Decreased(0.00908--->0.00908) 	 Saving The Model
Validation Loss Decreased(0.00908--->0.00908) 	 Saving The Model
Validation Loss Decreased(0.00908--->0.00907) 	 Saving The Model
Validation Loss Decreased(0.00907--->0.00907) 	 Saving The Model
Validation Loss Decreased(0.00907--->0.00906) 	 Saving The Model
Validation Loss Decreased(0.00906--->0.00906) 	 Saving The Model
Validation Loss Decreased(0.00906--->0.00905) 	 Saving The Model
Validation Loss Decreased(0.00905--->0.00905) 	 Saving The Model
Validation Loss Decreased(0.00905--->0.00905) 	 Saving The Model
Validation Loss Decreased(0.00905--->0.00904) 	 Saving The Model
Validation Loss Decreased(0.00904--->0.00904) 	 Saving The Model
Validation Loss Decreased(0.00904--->0.00904) 	 Saving The Model
Validation Loss Decreased(0.00904--->0.00903) 	 Saving The Model
Validation Loss Decreased(0.00903--->0.00903) 	 Saving The Model
Validation Loss Decreased(0.00903--->0.00902) 	 Saving The Model
Validation Loss Decreased(0.00902--->0.00902) 	 Saving The Model
Validation Loss Decreased(0.00902--->0.00902) 	 Saving The Model
Validation Loss Decreased(0.00902--->0.00901) 	 Saving The Model
Validation Loss Decreased(0.00901--->0.00901) 	 Saving The Model
Validation Loss Decreased(0.00901--->0.00901) 	 Saving The Model
Validation Loss Decreased(0.00901--->0.00900) 	 Saving The Model
Validation Loss Decreased(0.00900--->0.00900) 	 Saving The Model
Validation Loss Decreased(0.00900--->0.00899) 	 Saving The Model
Validation Loss Decreased(0.00899--->0.00899) 	 Saving The Model
Validation Loss Decreased(0.00899--->0.00899) 	 Saving The Model
Validation Loss Decreased(0.00899--->0.00898) 	 Saving The Model
Validation Loss Decreased(0.00898--->0.00898) 	 Saving The Model
Validation Loss Decreased(0.00898--->0.00898) 	 Saving The Model
Validation Loss Decreased(0.00898--->0.00897) 	 Saving The Model
Validation Loss Decreased(0.00897--->0.00897) 	 Saving The Model
Validation Loss Decreased(0.00897--->0.00896) 	 Saving The Model
Validation Loss Decreased(0.00896--->0.00896) 	 Saving The Model
Validation Loss Decreased(0.00896--->0.00896) 	 Saving The Model
Validation Loss Decreased(0.00896--->0.00895) 	 Saving The Model
Validation Loss Decreased(0.00895--->0.00895) 	 Saving The Model
Validation Loss Decreased(0.00895--->0.00895) 	 Saving The Model
Validation Loss Decreased(0.00895--->0.00894) 	 Saving The Model
Validation Loss Decreased(0.00894--->0.00894) 	 Saving The Model
Validation Loss Decreased(0.00894--->0.00894) 	 Saving The Model
Validation Loss Decreased(0.00894--->0.00893) 	 Saving The Model
Validation Loss Decreased(0.00893--->0.00893) 	 Saving The Model
Validation Loss Decreased(0.00893--->0.00892) 	 Saving The Model
Validation Loss Decreased(0.00892--->0.00892) 	 Saving The Model
Validation Loss Decreased(0.00892--->0.00892) 	 Saving The Model
Validation Loss Decreased(0.00892--->0.00891) 	 Saving The Model
Validation Loss Decreased(0.00891--->0.00891) 	 Saving The Model
Validation Loss Decreased(0.00891--->0.00891) 	 Saving The Model
Validation Loss Decreased(0.00891--->0.00890) 	 Saving The Model
Validation Loss Decreased(0.00890--->0.00890) 	 Saving The Model
Validation Loss Decreased(0.00890--->0.00890) 	 Saving The Model
Validation Loss Decreased(0.00890--->0.00889) 	 Saving The Model
Validation Loss Decreased(0.00889--->0.00889) 	 Saving The Model
Validation Loss Decreased(0.00889--->0.00889) 	 Saving The Model
Validation Loss Decreased(0.00889--->0.00888) 	 Saving The Model
Validation Loss Decreased(0.00888--->0.00888) 	 Saving The Model
Validation Loss Decreased(0.00888--->0.00888) 	 Saving The Model
Validation Loss Decreased(0.00888--->0.00887) 	 Saving The Model
Validation Loss Decreased(0.00887--->0.00887) 	 Saving The Model
Validation Loss Decreased(0.00887--->0.00887) 	 Saving The Model
Validation Loss Decreased(0.00887--->0.00886) 	 Saving The Model
Validation Loss Decreased(0.00886--->0.00886) 	 Saving The Model
Validation Loss Decreased(0.00886--->0.00886) 	 Saving The Model
Validation Loss Decreased(0.00886--->0.00886) 	 Saving The Model
Validation Loss Decreased(0.00886--->0.00885) 	 Saving The Model
Validation Loss Decreased(0.00885--->0.00885) 	 Saving The Model
Validation Loss Decreased(0.00885--->0.00885) 	 Saving The Model
Validation Loss Decreased(0.00885--->0.00884) 	 Saving The Model
Validation Loss Decreased(0.00884--->0.00884) 	 Saving The Model
Validation Loss Decreased(0.00884--->0.00884) 	 Saving The Model
Validation Loss Decreased(0.00884--->0.00884) 	 Saving The Model
Validation Loss Decreased(0.00884--->0.00883) 	 Saving The Model
Validation Loss Decreased(0.00883--->0.00883) 	 Saving The Model
Validation Loss Decreased(0.00883--->0.00883) 	 Saving The Model
Validation Loss Decreased(0.00883--->0.00883) 	 Saving The Model
Epoch 300 		 Training Loss: 0.01084 		 Validation Loss: 0.00882
Validation Loss Decreased(0.00883--->0.00882) 	 Saving The Model
Validation Loss Decreased(0.00882--->0.00882) 	 Saving The Model
Validation Loss Decreased(0.00882--->0.00882) 	 Saving The Model
Validation Loss Decreased(0.00882--->0.00882) 	 Saving The Model
Validation Loss Decreased(0.00882--->0.00881) 	 Saving The Model
Validation Loss Decreased(0.00881--->0.00881) 	 Saving The Model
Validation Loss Decreased(0.00881--->0.00881) 	 Saving The Model
Validation Loss Decreased(0.00881--->0.00881) 	 Saving The Model
Validation Loss Decreased(0.00881--->0.00881) 	 Saving The Model
Validation Loss Decreased(0.00881--->0.00880) 	 Saving The Model
Validation Loss Decreased(0.00880--->0.00880) 	 Saving The Model
Validation Loss Decreased(0.00880--->0.00880) 	 Saving The Model
Validation Loss Decreased(0.00880--->0.00880) 	 Saving The Model
Validation Loss Decreased(0.00880--->0.00880) 	 Saving The Model
Validation Loss Decreased(0.00880--->0.00880) 	 Saving The Model
Validation Loss Decreased(0.00880--->0.00879) 	 Saving The Model
Validation Loss Decreased(0.00879--->0.00879) 	 Saving The Model
Validation Loss Decreased(0.00879--->0.00879) 	 Saving The Model
Validation Loss Decreased(0.00879--->0.00879) 	 Saving The Model
Validation Loss Decreased(0.00879--->0.00879) 	 Saving The Model
Validation Loss Decreased(0.00879--->0.00879) 	 Saving The Model
Validation Loss Decreased(0.00879--->0.00879) 	 Saving The Model
Validation Loss Decreased(0.00879--->0.00879) 	 Saving The Model
Validation Loss Decreased(0.00879--->0.00878) 	 Saving The Model
Validation Loss Decreased(0.00878--->0.00878) 	 Saving The Model
Validation Loss Decreased(0.00878--->0.00878) 	 Saving The Model
Validation Loss Decreased(0.00878--->0.00878) 	 Saving The Model
Validation Loss Decreased(0.00878--->0.00878) 	 Saving The Model
Validation Loss Decreased(0.00878--->0.00878) 	 Saving The Model
Validation Loss Decreased(0.00878--->0.00878) 	 Saving The Model
Validation Loss Decreased(0.00878--->0.00878) 	 Saving The Model
Validation Loss Decreased(0.00878--->0.00878) 	 Saving The Model
Validation Loss Decreased(0.00878--->0.00878) 	 Saving The Model
Validation Loss Decreased(0.00878--->0.00878) 	 Saving The Model
Validation Loss Decreased(0.00878--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Epoch 400 		 Training Loss: 0.01064 		 Validation Loss: 0.00877
Epoch 500 		 Training Loss: 0.01052 		 Validation Loss: 0.00880
Epoch 600 		 Training Loss: 0.01042 		 Validation Loss: 0.00886
Epoch 700 		 Training Loss: 0.01036 		 Validation Loss: 0.00891
Epoch 800 		 Training Loss: 0.01029 		 Validation Loss: 0.00889
Validation Loss Decreased(0.00877--->0.00876) 	 Saving The Model
Validation Loss Decreased(0.00876--->0.00876) 	 Saving The Model
Validation Loss Decreased(0.00876--->0.00875) 	 Saving The Model
Validation Loss Decreased(0.00875--->0.00874) 	 Saving The Model
Validation Loss Decreased(0.00874--->0.00873) 	 Saving The Model
Validation Loss Decreased(0.00873--->0.00872) 	 Saving The Model
Validation Loss Decreased(0.00872--->0.00871) 	 Saving The Model
Validation Loss Decreased(0.00871--->0.00870) 	 Saving The Model
Validation Loss Decreased(0.00870--->0.00869) 	 Saving The Model
Validation Loss Decreased(0.00869--->0.00868) 	 Saving The Model
Validation Loss Decreased(0.00868--->0.00866) 	 Saving The Model
Validation Loss Decreased(0.00866--->0.00865) 	 Saving The Model
Validation Loss Decreased(0.00865--->0.00863) 	 Saving The Model
Validation Loss Decreased(0.00863--->0.00862) 	 Saving The Model
Validation Loss Decreased(0.00862--->0.00860) 	 Saving The Model
Validation Loss Decreased(0.00860--->0.00859) 	 Saving The Model
Validation Loss Decreased(0.00859--->0.00857) 	 Saving The Model
Validation Loss Decreased(0.00857--->0.00856) 	 Saving The Model
Validation Loss Decreased(0.00856--->0.00854) 	 Saving The Model
Validation Loss Decreased(0.00854--->0.00853) 	 Saving The Model
Validation Loss Decreased(0.00853--->0.00851) 	 Saving The Model
Validation Loss Decreased(0.00851--->0.00850) 	 Saving The Model
Validation Loss Decreased(0.00850--->0.00848) 	 Saving The Model
Validation Loss Decreased(0.00848--->0.00846) 	 Saving The Model
Validation Loss Decreased(0.00846--->0.00844) 	 Saving The Model
Validation Loss Decreased(0.00844--->0.00841) 	 Saving The Model
Validation Loss Decreased(0.00841--->0.00839) 	 Saving The Model
Validation Loss Decreased(0.00839--->0.00837) 	 Saving The Model
Validation Loss Decreased(0.00837--->0.00835) 	 Saving The Model
Validation Loss Decreased(0.00835--->0.00833) 	 Saving The Model
Validation Loss Decreased(0.00833--->0.00831) 	 Saving The Model
Validation Loss Decreased(0.00831--->0.00830) 	 Saving The Model
Validation Loss Decreased(0.00830--->0.00828) 	 Saving The Model
Validation Loss Decreased(0.00828--->0.00827) 	 Saving The Model
Validation Loss Decreased(0.00827--->0.00826) 	 Saving The Model
Validation Loss Decreased(0.00826--->0.00826) 	 Saving The Model
Validation Loss Decreased(0.00826--->0.00825) 	 Saving The Model
Validation Loss Decreased(0.00825--->0.00824) 	 Saving The Model
Validation Loss Decreased(0.00824--->0.00823) 	 Saving The Model
Validation Loss Decreased(0.00823--->0.00823) 	 Saving The Model
Epoch 900 		 Training Loss: 0.00917 		 Validation Loss: 0.00827
Validation Loss Decreased(0.00823--->0.00822) 	 Saving The Model
Validation Loss Decreased(0.00822--->0.00821) 	 Saving The Model
Validation Loss Decreased(0.00821--->0.00821) 	 Saving The Model
Validation Loss Decreased(0.00821--->0.00821) 	 Saving The Model
Validation Loss Decreased(0.00821--->0.00821) 	 Saving The Model
Validation Loss Decreased(0.00821--->0.00820) 	 Saving The Model
Validation Loss Decreased(0.00820--->0.00820) 	 Saving The Model
Validation Loss Decreased(0.00820--->0.00819) 	 Saving The Model
Validation Loss Decreased(0.00819--->0.00818) 	 Saving The Model
Validation Loss Decreased(0.00818--->0.00818) 	 Saving The Model
Validation Loss Decreased(0.00818--->0.00818) 	 Saving The Model
Validation Loss Decreased(0.00818--->0.00818) 	 Saving The Model
Validation Loss Decreased(0.00818--->0.00818) 	 Saving The Model
Validation Loss Decreased(0.00818--->0.00817) 	 Saving The Model
Validation Loss Decreased(0.00817--->0.00817) 	 Saving The Model
Validation Loss Decreased(0.00817--->0.00817) 	 Saving The Model
Epoch 1000 		 Training Loss: 0.00874 		 Validation Loss: 0.00819
Epoch 1100 		 Training Loss: 0.00856 		 Validation Loss: 0.00828
Epoch 1200 		 Training Loss: 0.00843 		 Validation Loss: 0.00849
Epoch 1300 		 Training Loss: 0.00830 		 Validation Loss: 0.00854
Epoch 1400 		 Training Loss: 0.00817 		 Validation Loss: 0.00860
Epoch 1500 		 Training Loss: 0.00799 		 Validation Loss: 0.00882
Epoch 1600 		 Training Loss: 0.00786 		 Validation Loss: 0.00885
Epoch 1700 		 Training Loss: 0.00763 		 Validation Loss: 0.00874
Epoch 1800 		 Training Loss: 0.00743 		 Validation Loss: 0.00894
Epoch 1900 		 Training Loss: 0.00721 		 Validation Loss: 0.00920
Epoch 2000 		 Training Loss: 0.00716 		 Validation Loss: 0.00943
Epoch 2100 		 Training Loss: 0.00743 		 Validation Loss: 0.01063
Epoch 2200 		 Training Loss: 0.00715 		 Validation Loss: 0.00910
Epoch 2300 		 Training Loss: 0.00666 		 Validation Loss: 0.00971
Epoch 2400 		 Training Loss: 0.00590 		 Validation Loss: 0.01095
Epoch 2500 		 Training Loss: 0.00565 		 Validation Loss: 0.01166
Epoch 2600 		 Training Loss: 0.00540 		 Validation Loss: 0.01101
Epoch 2700 		 Training Loss: 0.00518 		 Validation Loss: 0.01223
Epoch 2800 		 Training Loss: 0.00469 		 Validation Loss: 0.01248
Epoch 2900 		 Training Loss: 0.00448 		 Validation Loss: 0.01283
Stopping the training early		Model saved
	Training Loss: 0.0043860566802322865
	Validation Loss: 0.008169769309461117




RMSE of validation set: 5.306870798978589
RMSE of entire data set: 3.1379514753463105




--------------------NEW LOG--------------------
Logger started at: 2021-9-24 18:2:43
	Number of epochs :	4000
	Learning Rate :	0.01
	Input size : 1
	Number of layers : 1
	Number of classes : 1
	Loss function : MSE
	Optimizer : ADAM
	 :Training model
------------------
Validation Loss Decreased(inf--->0.01263) 	 Saving The Model
Validation Loss Decreased(0.01263--->0.01219) 	 Saving The Model
Validation Loss Decreased(0.01219--->0.01211) 	 Saving The Model
Validation Loss Decreased(0.01211--->0.01182) 	 Saving The Model
Validation Loss Decreased(0.01182--->0.01175) 	 Saving The Model
Validation Loss Decreased(0.01175--->0.01151) 	 Saving The Model
Validation Loss Decreased(0.01151--->0.01130) 	 Saving The Model
Validation Loss Decreased(0.01130--->0.01119) 	 Saving The Model
Validation Loss Decreased(0.01119--->0.01117) 	 Saving The Model
Validation Loss Decreased(0.01117--->0.01112) 	 Saving The Model
Validation Loss Decreased(0.01112--->0.01098) 	 Saving The Model
Validation Loss Decreased(0.01098--->0.01077) 	 Saving The Model
Validation Loss Decreased(0.01077--->0.01058) 	 Saving The Model
Validation Loss Decreased(0.01058--->0.01049) 	 Saving The Model
Validation Loss Decreased(0.01049--->0.01049) 	 Saving The Model
Validation Loss Decreased(0.01049--->0.01041) 	 Saving The Model
Validation Loss Decreased(0.01041--->0.01016) 	 Saving The Model
Validation Loss Decreased(0.01016--->0.00984) 	 Saving The Model
Validation Loss Decreased(0.00984--->0.00970) 	 Saving The Model
Validation Loss Decreased(0.00970--->0.00963) 	 Saving The Model
Validation Loss Decreased(0.00963--->0.00937) 	 Saving The Model
Validation Loss Decreased(0.00937--->0.00924) 	 Saving The Model
Validation Loss Decreased(0.00924--->0.00917) 	 Saving The Model
