--------------------NEW LOG--------------------
Logger started at: 2021-9-23 13:5:16
	Number of epochs :	4000
	Learning Rate :	0.01
	Input size : 1
Validation Loss Decreased(0.00864--->0.00864) 	 Saving The Model
Validation Loss Decreased(0.00864--->0.00864) 	 Saving The Model
Validation Loss Decreased(0.00864--->0.00864) 	 Saving The Model
Validation Loss Decreased(0.00864--->0.00864) 	 Saving The Model
Validation Loss Decreased(0.00864--->0.00864) 	 Saving The Model
Validation Loss Decreased(0.00864--->0.00864) 	 Saving The Model
Validation Loss Decreased(0.00864--->0.00863) 	 Saving The Model
Validation Loss Decreased(0.00863--->0.00863) 	 Saving The Model
Validation Loss Decreased(0.00863--->0.00863) 	 Saving The Model
Validation Loss Decreased(0.00863--->0.00863) 	 Saving The Model
Validation Loss Decreased(0.00863--->0.00863) 	 Saving The Model
Validation Loss Decreased(0.00863--->0.00863) 	 Saving The Model
Validation Loss Decreased(0.00863--->0.00863) 	 Saving The Model
Validation Loss Decreased(0.00863--->0.00863) 	 Saving The Model
Validation Loss Decreased(0.00863--->0.00863) 	 Saving The Model
Validation Loss Decreased(0.00863--->0.00863) 	 Saving The Model
Validation Loss Decreased(0.00863--->0.00863) 	 Saving The Model
Validation Loss Decreased(0.00863--->0.00863) 	 Saving The Model
Validation Loss Decreased(0.00863--->0.00862) 	 Saving The Model
Validation Loss Decreased(0.00862--->0.00862) 	 Saving The Model
Validation Loss Decreased(0.00862--->0.00862) 	 Saving The Model
Validation Loss Decreased(0.00862--->0.00862) 	 Saving The Model
Validation Loss Decreased(0.00862--->0.00862) 	 Saving The Model
Validation Loss Decreased(0.00862--->0.00862) 	 Saving The Model
Validation Loss Decreased(0.00862--->0.00862) 	 Saving The Model
Epoch 200 		 Training Loss: 0.01270 		 Validation Loss: 0.00862
Validation Loss Decreased(0.00862--->0.00862) 	 Saving The Model
Validation Loss Decreased(0.00862--->0.00862) 	 Saving The Model
Validation Loss Decreased(0.00862--->0.00862) 	 Saving The Model
Validation Loss Decreased(0.00862--->0.00862) 	 Saving The Model
Validation Loss Decreased(0.00862--->0.00861) 	 Saving The Model
Validation Loss Decreased(0.00861--->0.00861) 	 Saving The Model
Validation Loss Decreased(0.00861--->0.00861) 	 Saving The Model
Validation Loss Decreased(0.00861--->0.00861) 	 Saving The Model
Validation Loss Decreased(0.00861--->0.00861) 	 Saving The Model
Validation Loss Decreased(0.00861--->0.00861) 	 Saving The Model
Validation Loss Decreased(0.00861--->0.00861) 	 Saving The Model
Validation Loss Decreased(0.00861--->0.00861) 	 Saving The Model
Validation Loss Decreased(0.00861--->0.00860) 	 Saving The Model
Validation Loss Decreased(0.00860--->0.00860) 	 Saving The Model
Validation Loss Decreased(0.00860--->0.00860) 	 Saving The Model
Validation Loss Decreased(0.00860--->0.00860) 	 Saving The Model
Validation Loss Decreased(0.00860--->0.00860) 	 Saving The Model
Validation Loss Decreased(0.00860--->0.00860) 	 Saving The Model
Validation Loss Decreased(0.00860--->0.00860) 	 Saving The Model
Validation Loss Decreased(0.00860--->0.00860) 	 Saving The Model
Validation Loss Decreased(0.00860--->0.00859) 	 Saving The Model
Validation Loss Decreased(0.00859--->0.00859) 	 Saving The Model
Validation Loss Decreased(0.00859--->0.00859) 	 Saving The Model
Validation Loss Decreased(0.00859--->0.00859) 	 Saving The Model
Validation Loss Decreased(0.00859--->0.00859) 	 Saving The Model
Validation Loss Decreased(0.00859--->0.00859) 	 Saving The Model
Validation Loss Decreased(0.00859--->0.00859) 	 Saving The Model
Validation Loss Decreased(0.00859--->0.00858) 	 Saving The Model
Validation Loss Decreased(0.00858--->0.00858) 	 Saving The Model
Validation Loss Decreased(0.00858--->0.00858) 	 Saving The Model
Validation Loss Decreased(0.00858--->0.00858) 	 Saving The Model
Validation Loss Decreased(0.00858--->0.00858) 	 Saving The Model
Validation Loss Decreased(0.00858--->0.00858) 	 Saving The Model
Validation Loss Decreased(0.00858--->0.00857) 	 Saving The Model
Validation Loss Decreased(0.00857--->0.00857) 	 Saving The Model
Validation Loss Decreased(0.00857--->0.00857) 	 Saving The Model
Validation Loss Decreased(0.00857--->0.00857) 	 Saving The Model
Validation Loss Decreased(0.00857--->0.00857) 	 Saving The Model
Validation Loss Decreased(0.00857--->0.00856) 	 Saving The Model
Validation Loss Decreased(0.00856--->0.00856) 	 Saving The Model
Validation Loss Decreased(0.00856--->0.00856) 	 Saving The Model
Validation Loss Decreased(0.00856--->0.00856) 	 Saving The Model
Validation Loss Decreased(0.00856--->0.00856) 	 Saving The Model
Validation Loss Decreased(0.00856--->0.00856) 	 Saving The Model
Validation Loss Decreased(0.00856--->0.00855) 	 Saving The Model
Validation Loss Decreased(0.00855--->0.00855) 	 Saving The Model
Validation Loss Decreased(0.00855--->0.00855) 	 Saving The Model
Validation Loss Decreased(0.00855--->0.00855) 	 Saving The Model
Validation Loss Decreased(0.00855--->0.00855) 	 Saving The Model
Validation Loss Decreased(0.00855--->0.00854) 	 Saving The Model
Validation Loss Decreased(0.00854--->0.00854) 	 Saving The Model
Validation Loss Decreased(0.00854--->0.00854) 	 Saving The Model
Validation Loss Decreased(0.00854--->0.00854) 	 Saving The Model
Validation Loss Decreased(0.00854--->0.00854) 	 Saving The Model
Validation Loss Decreased(0.00854--->0.00853) 	 Saving The Model
Validation Loss Decreased(0.00853--->0.00853) 	 Saving The Model
Validation Loss Decreased(0.00853--->0.00853) 	 Saving The Model
Validation Loss Decreased(0.00853--->0.00853) 	 Saving The Model
Validation Loss Decreased(0.00853--->0.00852) 	 Saving The Model
Validation Loss Decreased(0.00852--->0.00852) 	 Saving The Model
Validation Loss Decreased(0.00852--->0.00852) 	 Saving The Model
Validation Loss Decreased(0.00852--->0.00852) 	 Saving The Model
Validation Loss Decreased(0.00852--->0.00852) 	 Saving The Model
Validation Loss Decreased(0.00852--->0.00851) 	 Saving The Model
Validation Loss Decreased(0.00851--->0.00851) 	 Saving The Model
Validation Loss Decreased(0.00851--->0.00851) 	 Saving The Model
Validation Loss Decreased(0.00851--->0.00851) 	 Saving The Model
Validation Loss Decreased(0.00851--->0.00850) 	 Saving The Model
Validation Loss Decreased(0.00850--->0.00850) 	 Saving The Model
Validation Loss Decreased(0.00850--->0.00850) 	 Saving The Model
Validation Loss Decreased(0.00850--->0.00850) 	 Saving The Model
Validation Loss Decreased(0.00850--->0.00850) 	 Saving The Model
Validation Loss Decreased(0.00850--->0.00849) 	 Saving The Model
Validation Loss Decreased(0.00849--->0.00849) 	 Saving The Model
Validation Loss Decreased(0.00849--->0.00849) 	 Saving The Model
Validation Loss Decreased(0.00849--->0.00849) 	 Saving The Model
Validation Loss Decreased(0.00849--->0.00848) 	 Saving The Model
Validation Loss Decreased(0.00848--->0.00848) 	 Saving The Model
Validation Loss Decreased(0.00848--->0.00848) 	 Saving The Model
Validation Loss Decreased(0.00848--->0.00848) 	 Saving The Model
Validation Loss Decreased(0.00848--->0.00847) 	 Saving The Model
Validation Loss Decreased(0.00847--->0.00847) 	 Saving The Model
Validation Loss Decreased(0.00847--->0.00847) 	 Saving The Model
Validation Loss Decreased(0.00847--->0.00847) 	 Saving The Model
Validation Loss Decreased(0.00847--->0.00846) 	 Saving The Model
Validation Loss Decreased(0.00846--->0.00846) 	 Saving The Model
Validation Loss Decreased(0.00846--->0.00846) 	 Saving The Model
Validation Loss Decreased(0.00846--->0.00846) 	 Saving The Model
Validation Loss Decreased(0.00846--->0.00846) 	 Saving The Model
Validation Loss Decreased(0.00846--->0.00845) 	 Saving The Model
Validation Loss Decreased(0.00845--->0.00845) 	 Saving The Model
Validation Loss Decreased(0.00845--->0.00845) 	 Saving The Model
Validation Loss Decreased(0.00845--->0.00845) 	 Saving The Model
Validation Loss Decreased(0.00845--->0.00844) 	 Saving The Model
Validation Loss Decreased(0.00844--->0.00844) 	 Saving The Model
Validation Loss Decreased(0.00844--->0.00844) 	 Saving The Model
Validation Loss Decreased(0.00844--->0.00844) 	 Saving The Model
Validation Loss Decreased(0.00844--->0.00843) 	 Saving The Model
Validation Loss Decreased(0.00843--->0.00843) 	 Saving The Model
Validation Loss Decreased(0.00843--->0.00843) 	 Saving The Model
Epoch 300 		 Training Loss: 0.01243 		 Validation Loss: 0.00843
Validation Loss Decreased(0.00843--->0.00843) 	 Saving The Model
Validation Loss Decreased(0.00843--->0.00842) 	 Saving The Model
Validation Loss Decreased(0.00842--->0.00842) 	 Saving The Model
Validation Loss Decreased(0.00842--->0.00842) 	 Saving The Model
Validation Loss Decreased(0.00842--->0.00842) 	 Saving The Model
Validation Loss Decreased(0.00842--->0.00842) 	 Saving The Model
Validation Loss Decreased(0.00842--->0.00841) 	 Saving The Model
Validation Loss Decreased(0.00841--->0.00841) 	 Saving The Model
Validation Loss Decreased(0.00841--->0.00841) 	 Saving The Model
Validation Loss Decreased(0.00841--->0.00841) 	 Saving The Model
Validation Loss Decreased(0.00841--->0.00841) 	 Saving The Model
Validation Loss Decreased(0.00841--->0.00840) 	 Saving The Model
Validation Loss Decreased(0.00840--->0.00840) 	 Saving The Model
Validation Loss Decreased(0.00840--->0.00840) 	 Saving The Model
Validation Loss Decreased(0.00840--->0.00840) 	 Saving The Model
Validation Loss Decreased(0.00840--->0.00840) 	 Saving The Model
Validation Loss Decreased(0.00840--->0.00839) 	 Saving The Model
Validation Loss Decreased(0.00839--->0.00839) 	 Saving The Model
Validation Loss Decreased(0.00839--->0.00839) 	 Saving The Model
Validation Loss Decreased(0.00839--->0.00839) 	 Saving The Model
Validation Loss Decreased(0.00839--->0.00839) 	 Saving The Model
Validation Loss Decreased(0.00839--->0.00838) 	 Saving The Model
Validation Loss Decreased(0.00838--->0.00838) 	 Saving The Model
Validation Loss Decreased(0.00838--->0.00838) 	 Saving The Model
Validation Loss Decreased(0.00838--->0.00838) 	 Saving The Model
Validation Loss Decreased(0.00838--->0.00838) 	 Saving The Model
Validation Loss Decreased(0.00838--->0.00837) 	 Saving The Model
Validation Loss Decreased(0.00837--->0.00837) 	 Saving The Model
Validation Loss Decreased(0.00837--->0.00837) 	 Saving The Model
Validation Loss Decreased(0.00837--->0.00837) 	 Saving The Model
Validation Loss Decreased(0.00837--->0.00837) 	 Saving The Model
Validation Loss Decreased(0.00837--->0.00837) 	 Saving The Model
Validation Loss Decreased(0.00837--->0.00836) 	 Saving The Model
Validation Loss Decreased(0.00836--->0.00836) 	 Saving The Model
Validation Loss Decreased(0.00836--->0.00836) 	 Saving The Model
Validation Loss Decreased(0.00836--->0.00836) 	 Saving The Model
Validation Loss Decreased(0.00836--->0.00836) 	 Saving The Model
Validation Loss Decreased(0.00836--->0.00835) 	 Saving The Model
Validation Loss Decreased(0.00835--->0.00835) 	 Saving The Model
Validation Loss Decreased(0.00835--->0.00835) 	 Saving The Model
Validation Loss Decreased(0.00835--->0.00835) 	 Saving The Model
Validation Loss Decreased(0.00835--->0.00835) 	 Saving The Model
Validation Loss Decreased(0.00835--->0.00835) 	 Saving The Model
Validation Loss Decreased(0.00835--->0.00834) 	 Saving The Model
Validation Loss Decreased(0.00834--->0.00834) 	 Saving The Model
Validation Loss Decreased(0.00834--->0.00834) 	 Saving The Model
Validation Loss Decreased(0.00834--->0.00834) 	 Saving The Model
Validation Loss Decreased(0.00834--->0.00834) 	 Saving The Model
Validation Loss Decreased(0.00834--->0.00834) 	 Saving The Model
Validation Loss Decreased(0.00834--->0.00833) 	 Saving The Model
Validation Loss Decreased(0.00833--->0.00833) 	 Saving The Model
Validation Loss Decreased(0.00833--->0.00833) 	 Saving The Model
Validation Loss Decreased(0.00833--->0.00833) 	 Saving The Model
Validation Loss Decreased(0.00833--->0.00833) 	 Saving The Model
Validation Loss Decreased(0.00833--->0.00833) 	 Saving The Model
Validation Loss Decreased(0.00833--->0.00832) 	 Saving The Model
Validation Loss Decreased(0.00832--->0.00832) 	 Saving The Model
Validation Loss Decreased(0.00832--->0.00832) 	 Saving The Model
Validation Loss Decreased(0.00832--->0.00832) 	 Saving The Model
Validation Loss Decreased(0.00832--->0.00832) 	 Saving The Model
Validation Loss Decreased(0.00832--->0.00832) 	 Saving The Model
Validation Loss Decreased(0.00832--->0.00831) 	 Saving The Model
Validation Loss Decreased(0.00831--->0.00831) 	 Saving The Model
Validation Loss Decreased(0.00831--->0.00831) 	 Saving The Model
Validation Loss Decreased(0.00831--->0.00831) 	 Saving The Model
Validation Loss Decreased(0.00831--->0.00831) 	 Saving The Model
Validation Loss Decreased(0.00831--->0.00830) 	 Saving The Model
Validation Loss Decreased(0.00830--->0.00830) 	 Saving The Model
Validation Loss Decreased(0.00830--->0.00830) 	 Saving The Model
Validation Loss Decreased(0.00830--->0.00830) 	 Saving The Model
Validation Loss Decreased(0.00830--->0.00830) 	 Saving The Model
Validation Loss Decreased(0.00830--->0.00829) 	 Saving The Model
Validation Loss Decreased(0.00829--->0.00829) 	 Saving The Model
Validation Loss Decreased(0.00829--->0.00829) 	 Saving The Model
Validation Loss Decreased(0.00829--->0.00829) 	 Saving The Model
Validation Loss Decreased(0.00829--->0.00828) 	 Saving The Model
Validation Loss Decreased(0.00828--->0.00828) 	 Saving The Model
Validation Loss Decreased(0.00828--->0.00828) 	 Saving The Model
Validation Loss Decreased(0.00828--->0.00828) 	 Saving The Model
Validation Loss Decreased(0.00828--->0.00827) 	 Saving The Model
Validation Loss Decreased(0.00827--->0.00827) 	 Saving The Model
Validation Loss Decreased(0.00827--->0.00827) 	 Saving The Model
Validation Loss Decreased(0.00827--->0.00827) 	 Saving The Model
Validation Loss Decreased(0.00827--->0.00826) 	 Saving The Model
Validation Loss Decreased(0.00826--->0.00826) 	 Saving The Model
Validation Loss Decreased(0.00826--->0.00826) 	 Saving The Model
Validation Loss Decreased(0.00826--->0.00825) 	 Saving The Model
Validation Loss Decreased(0.00825--->0.00825) 	 Saving The Model
Validation Loss Decreased(0.00825--->0.00825) 	 Saving The Model
Validation Loss Decreased(0.00825--->0.00824) 	 Saving The Model
Validation Loss Decreased(0.00824--->0.00824) 	 Saving The Model
Validation Loss Decreased(0.00824--->0.00824) 	 Saving The Model
Validation Loss Decreased(0.00824--->0.00823) 	 Saving The Model
Validation Loss Decreased(0.00823--->0.00823) 	 Saving The Model
Validation Loss Decreased(0.00823--->0.00822) 	 Saving The Model
Validation Loss Decreased(0.00822--->0.00822) 	 Saving The Model
Validation Loss Decreased(0.00822--->0.00822) 	 Saving The Model
Validation Loss Decreased(0.00822--->0.00821) 	 Saving The Model
Validation Loss Decreased(0.00821--->0.00821) 	 Saving The Model
Validation Loss Decreased(0.00821--->0.00820) 	 Saving The Model
Epoch 400 		 Training Loss: 0.01216 		 Validation Loss: 0.00820
Validation Loss Decreased(0.00820--->0.00820) 	 Saving The Model
Validation Loss Decreased(0.00820--->0.00820) 	 Saving The Model
Validation Loss Decreased(0.00820--->0.00819) 	 Saving The Model
Validation Loss Decreased(0.00819--->0.00819) 	 Saving The Model
Validation Loss Decreased(0.00819--->0.00818) 	 Saving The Model
Validation Loss Decreased(0.00818--->0.00818) 	 Saving The Model
Validation Loss Decreased(0.00818--->0.00817) 	 Saving The Model
Validation Loss Decreased(0.00817--->0.00817) 	 Saving The Model
Validation Loss Decreased(0.00817--->0.00816) 	 Saving The Model
Validation Loss Decreased(0.00816--->0.00816) 	 Saving The Model
Validation Loss Decreased(0.00816--->0.00815) 	 Saving The Model
Validation Loss Decreased(0.00815--->0.00815) 	 Saving The Model
Validation Loss Decreased(0.00815--->0.00814) 	 Saving The Model
Validation Loss Decreased(0.00814--->0.00814) 	 Saving The Model
Validation Loss Decreased(0.00814--->0.00814) 	 Saving The Model
Validation Loss Decreased(0.00814--->0.00813) 	 Saving The Model
Validation Loss Decreased(0.00813--->0.00813) 	 Saving The Model
Validation Loss Decreased(0.00813--->0.00812) 	 Saving The Model
Validation Loss Decreased(0.00812--->0.00811) 	 Saving The Model
Validation Loss Decreased(0.00811--->0.00811) 	 Saving The Model
Validation Loss Decreased(0.00811--->0.00810) 	 Saving The Model
Validation Loss Decreased(0.00810--->0.00810) 	 Saving The Model
Validation Loss Decreased(0.00810--->0.00809) 	 Saving The Model
Validation Loss Decreased(0.00809--->0.00809) 	 Saving The Model
Validation Loss Decreased(0.00809--->0.00808) 	 Saving The Model
Validation Loss Decreased(0.00808--->0.00808) 	 Saving The Model
Validation Loss Decreased(0.00808--->0.00807) 	 Saving The Model
Validation Loss Decreased(0.00807--->0.00807) 	 Saving The Model
Validation Loss Decreased(0.00807--->0.00806) 	 Saving The Model
Validation Loss Decreased(0.00806--->0.00806) 	 Saving The Model
Validation Loss Decreased(0.00806--->0.00805) 	 Saving The Model
Validation Loss Decreased(0.00805--->0.00805) 	 Saving The Model
Validation Loss Decreased(0.00805--->0.00803) 	 Saving The Model
Validation Loss Decreased(0.00803--->0.00797) 	 Saving The Model
Validation Loss Decreased(0.00797--->0.00796) 	 Saving The Model
Validation Loss Decreased(0.00796--->0.00795) 	 Saving The Model
Validation Loss Decreased(0.00795--->0.00794) 	 Saving The Model
Validation Loss Decreased(0.00794--->0.00794) 	 Saving The Model
Validation Loss Decreased(0.00794--->0.00793) 	 Saving The Model
Validation Loss Decreased(0.00793--->0.00793) 	 Saving The Model
Validation Loss Decreased(0.00793--->0.00792) 	 Saving The Model
Epoch 500 		 Training Loss: 0.01185 		 Validation Loss: 0.00794
Validation Loss Decreased(0.00792--->0.00792) 	 Saving The Model
Validation Loss Decreased(0.00792--->0.00791) 	 Saving The Model
Validation Loss Decreased(0.00791--->0.00790) 	 Saving The Model
Validation Loss Decreased(0.00790--->0.00790) 	 Saving The Model
Validation Loss Decreased(0.00790--->0.00790) 	 Saving The Model
Validation Loss Decreased(0.00790--->0.00789) 	 Saving The Model
Validation Loss Decreased(0.00789--->0.00788) 	 Saving The Model
Validation Loss Decreased(0.00788--->0.00788) 	 Saving The Model
Validation Loss Decreased(0.00788--->0.00787) 	 Saving The Model
Validation Loss Decreased(0.00787--->0.00787) 	 Saving The Model
Validation Loss Decreased(0.00787--->0.00786) 	 Saving The Model
Validation Loss Decreased(0.00786--->0.00786) 	 Saving The Model
Validation Loss Decreased(0.00786--->0.00785) 	 Saving The Model
Validation Loss Decreased(0.00785--->0.00785) 	 Saving The Model
Validation Loss Decreased(0.00785--->0.00785) 	 Saving The Model
Validation Loss Decreased(0.00785--->0.00784) 	 Saving The Model
Validation Loss Decreased(0.00784--->0.00784) 	 Saving The Model
Validation Loss Decreased(0.00784--->0.00784) 	 Saving The Model
Validation Loss Decreased(0.00784--->0.00784) 	 Saving The Model
Validation Loss Decreased(0.00784--->0.00783) 	 Saving The Model
Validation Loss Decreased(0.00783--->0.00782) 	 Saving The Model
Validation Loss Decreased(0.00782--->0.00782) 	 Saving The Model
Validation Loss Decreased(0.00782--->0.00781) 	 Saving The Model
Validation Loss Decreased(0.00781--->0.00781) 	 Saving The Model
Validation Loss Decreased(0.00781--->0.00781) 	 Saving The Model
Validation Loss Decreased(0.00781--->0.00780) 	 Saving The Model
Validation Loss Decreased(0.00780--->0.00780) 	 Saving The Model
Validation Loss Decreased(0.00780--->0.00779) 	 Saving The Model
Validation Loss Decreased(0.00779--->0.00779) 	 Saving The Model
Validation Loss Decreased(0.00779--->0.00779) 	 Saving The Model
Validation Loss Decreased(0.00779--->0.00778) 	 Saving The Model
Validation Loss Decreased(0.00778--->0.00778) 	 Saving The Model
Validation Loss Decreased(0.00778--->0.00778) 	 Saving The Model
Validation Loss Decreased(0.00778--->0.00777) 	 Saving The Model
Validation Loss Decreased(0.00777--->0.00777) 	 Saving The Model
Validation Loss Decreased(0.00777--->0.00775) 	 Saving The Model
Validation Loss Decreased(0.00775--->0.00773) 	 Saving The Model
Validation Loss Decreased(0.00773--->0.00770) 	 Saving The Model
Validation Loss Decreased(0.00770--->0.00770) 	 Saving The Model
Validation Loss Decreased(0.00770--->0.00769) 	 Saving The Model
Epoch 600 		 Training Loss: 0.01162 		 Validation Loss: 0.00769
Validation Loss Decreased(0.00769--->0.00769) 	 Saving The Model
Validation Loss Decreased(0.00769--->0.00769) 	 Saving The Model
