--------------------NEW LOG--------------------
Logger started at: 2021-9-23 13:23:8
	Number of epochs :	4000
	Learning Rate :	0.01
	Input size : 1
Validation Loss Decreased(0.01134--->0.01133) 	 Saving The Model
Validation Loss Decreased(0.01133--->0.01132) 	 Saving The Model
Validation Loss Decreased(0.01132--->0.01132) 	 Saving The Model
Validation Loss Decreased(0.01132--->0.01131) 	 Saving The Model
Validation Loss Decreased(0.01131--->0.01131) 	 Saving The Model
Validation Loss Decreased(0.01131--->0.01130) 	 Saving The Model
Validation Loss Decreased(0.01130--->0.01129) 	 Saving The Model
Validation Loss Decreased(0.01129--->0.01129) 	 Saving The Model
Validation Loss Decreased(0.01129--->0.01128) 	 Saving The Model
Validation Loss Decreased(0.01128--->0.01128) 	 Saving The Model
Validation Loss Decreased(0.01128--->0.01127) 	 Saving The Model
Validation Loss Decreased(0.01127--->0.01127) 	 Saving The Model
Validation Loss Decreased(0.01127--->0.01126) 	 Saving The Model
Validation Loss Decreased(0.01126--->0.01126) 	 Saving The Model
Validation Loss Decreased(0.01126--->0.01125) 	 Saving The Model
Validation Loss Decreased(0.01125--->0.01125) 	 Saving The Model
Validation Loss Decreased(0.01125--->0.01124) 	 Saving The Model
Validation Loss Decreased(0.01124--->0.01124) 	 Saving The Model
Validation Loss Decreased(0.01124--->0.01123) 	 Saving The Model
Validation Loss Decreased(0.01123--->0.01123) 	 Saving The Model
Validation Loss Decreased(0.01123--->0.01122) 	 Saving The Model
Validation Loss Decreased(0.01122--->0.01122) 	 Saving The Model
Validation Loss Decreased(0.01122--->0.01121) 	 Saving The Model
Validation Loss Decreased(0.01121--->0.01121) 	 Saving The Model
Validation Loss Decreased(0.01121--->0.01120) 	 Saving The Model
Validation Loss Decreased(0.01120--->0.01120) 	 Saving The Model
Validation Loss Decreased(0.01120--->0.01119) 	 Saving The Model
Validation Loss Decreased(0.01119--->0.01119) 	 Saving The Model
Validation Loss Decreased(0.01119--->0.01118) 	 Saving The Model
Validation Loss Decreased(0.01118--->0.01118) 	 Saving The Model
Validation Loss Decreased(0.01118--->0.01117) 	 Saving The Model
Validation Loss Decreased(0.01117--->0.01117) 	 Saving The Model
Validation Loss Decreased(0.01117--->0.01116) 	 Saving The Model
Epoch 200 		 Training Loss: 0.00965 		 Validation Loss: 0.01116
Validation Loss Decreased(0.01116--->0.01116) 	 Saving The Model
Validation Loss Decreased(0.01116--->0.01116) 	 Saving The Model
Validation Loss Decreased(0.01116--->0.01115) 	 Saving The Model
Validation Loss Decreased(0.01115--->0.01115) 	 Saving The Model
Validation Loss Decreased(0.01115--->0.01114) 	 Saving The Model
Validation Loss Decreased(0.01114--->0.01114) 	 Saving The Model
Validation Loss Decreased(0.01114--->0.01114) 	 Saving The Model
Validation Loss Decreased(0.01114--->0.01113) 	 Saving The Model
Validation Loss Decreased(0.01113--->0.01113) 	 Saving The Model
Validation Loss Decreased(0.01113--->0.01112) 	 Saving The Model
Validation Loss Decreased(0.01112--->0.01112) 	 Saving The Model
Validation Loss Decreased(0.01112--->0.01112) 	 Saving The Model
Validation Loss Decreased(0.01112--->0.01111) 	 Saving The Model
Validation Loss Decreased(0.01111--->0.01111) 	 Saving The Model
Validation Loss Decreased(0.01111--->0.01111) 	 Saving The Model
Validation Loss Decreased(0.01111--->0.01110) 	 Saving The Model
Validation Loss Decreased(0.01110--->0.01110) 	 Saving The Model
Validation Loss Decreased(0.01110--->0.01110) 	 Saving The Model
Validation Loss Decreased(0.01110--->0.01109) 	 Saving The Model
Validation Loss Decreased(0.01109--->0.01109) 	 Saving The Model
Validation Loss Decreased(0.01109--->0.01109) 	 Saving The Model
Validation Loss Decreased(0.01109--->0.01108) 	 Saving The Model
Validation Loss Decreased(0.01108--->0.01108) 	 Saving The Model
Validation Loss Decreased(0.01108--->0.01108) 	 Saving The Model
Validation Loss Decreased(0.01108--->0.01107) 	 Saving The Model
Validation Loss Decreased(0.01107--->0.01107) 	 Saving The Model
Validation Loss Decreased(0.01107--->0.01107) 	 Saving The Model
Validation Loss Decreased(0.01107--->0.01106) 	 Saving The Model
Validation Loss Decreased(0.01106--->0.01106) 	 Saving The Model
Validation Loss Decreased(0.01106--->0.01106) 	 Saving The Model
Validation Loss Decreased(0.01106--->0.01106) 	 Saving The Model
Validation Loss Decreased(0.01106--->0.01105) 	 Saving The Model
Validation Loss Decreased(0.01105--->0.01105) 	 Saving The Model
Validation Loss Decreased(0.01105--->0.01105) 	 Saving The Model
Validation Loss Decreased(0.01105--->0.01104) 	 Saving The Model
Validation Loss Decreased(0.01104--->0.01104) 	 Saving The Model
Validation Loss Decreased(0.01104--->0.01104) 	 Saving The Model
Validation Loss Decreased(0.01104--->0.01104) 	 Saving The Model
Validation Loss Decreased(0.01104--->0.01103) 	 Saving The Model
Validation Loss Decreased(0.01103--->0.01103) 	 Saving The Model
Validation Loss Decreased(0.01103--->0.01103) 	 Saving The Model
Validation Loss Decreased(0.01103--->0.01103) 	 Saving The Model
Validation Loss Decreased(0.01103--->0.01102) 	 Saving The Model
Validation Loss Decreased(0.01102--->0.01102) 	 Saving The Model
Validation Loss Decreased(0.01102--->0.01102) 	 Saving The Model
Validation Loss Decreased(0.01102--->0.01102) 	 Saving The Model
Validation Loss Decreased(0.01102--->0.01101) 	 Saving The Model
Validation Loss Decreased(0.01101--->0.01101) 	 Saving The Model
Validation Loss Decreased(0.01101--->0.01101) 	 Saving The Model
Validation Loss Decreased(0.01101--->0.01101) 	 Saving The Model
Validation Loss Decreased(0.01101--->0.01100) 	 Saving The Model
Validation Loss Decreased(0.01100--->0.01100) 	 Saving The Model
Validation Loss Decreased(0.01100--->0.01100) 	 Saving The Model
Validation Loss Decreased(0.01100--->0.01100) 	 Saving The Model
Validation Loss Decreased(0.01100--->0.01100) 	 Saving The Model
Validation Loss Decreased(0.01100--->0.01099) 	 Saving The Model
Validation Loss Decreased(0.01099--->0.01099) 	 Saving The Model
Validation Loss Decreased(0.01099--->0.01099) 	 Saving The Model
Validation Loss Decreased(0.01099--->0.01099) 	 Saving The Model
Validation Loss Decreased(0.01099--->0.01099) 	 Saving The Model
Validation Loss Decreased(0.01099--->0.01098) 	 Saving The Model
Validation Loss Decreased(0.01098--->0.01098) 	 Saving The Model
Validation Loss Decreased(0.01098--->0.01098) 	 Saving The Model
Validation Loss Decreased(0.01098--->0.01098) 	 Saving The Model
Validation Loss Decreased(0.01098--->0.01098) 	 Saving The Model
Validation Loss Decreased(0.01098--->0.01097) 	 Saving The Model
Validation Loss Decreased(0.01097--->0.01097) 	 Saving The Model
Validation Loss Decreased(0.01097--->0.01097) 	 Saving The Model
Validation Loss Decreased(0.01097--->0.01097) 	 Saving The Model
Validation Loss Decreased(0.01097--->0.01097) 	 Saving The Model
Validation Loss Decreased(0.01097--->0.01096) 	 Saving The Model
Validation Loss Decreased(0.01096--->0.01096) 	 Saving The Model
Validation Loss Decreased(0.01096--->0.01096) 	 Saving The Model
Validation Loss Decreased(0.01096--->0.01096) 	 Saving The Model
Validation Loss Decreased(0.01096--->0.01096) 	 Saving The Model
Validation Loss Decreased(0.01096--->0.01096) 	 Saving The Model
Validation Loss Decreased(0.01096--->0.01095) 	 Saving The Model
Validation Loss Decreased(0.01095--->0.01095) 	 Saving The Model
Validation Loss Decreased(0.01095--->0.01095) 	 Saving The Model
Validation Loss Decreased(0.01095--->0.01095) 	 Saving The Model
Validation Loss Decreased(0.01095--->0.01095) 	 Saving The Model
Validation Loss Decreased(0.01095--->0.01095) 	 Saving The Model
Validation Loss Decreased(0.01095--->0.01094) 	 Saving The Model
Validation Loss Decreased(0.01094--->0.01094) 	 Saving The Model
Validation Loss Decreased(0.01094--->0.01094) 	 Saving The Model
Validation Loss Decreased(0.01094--->0.01094) 	 Saving The Model
Validation Loss Decreased(0.01094--->0.01094) 	 Saving The Model
Validation Loss Decreased(0.01094--->0.01094) 	 Saving The Model
Validation Loss Decreased(0.01094--->0.01094) 	 Saving The Model
Validation Loss Decreased(0.01094--->0.01093) 	 Saving The Model
Validation Loss Decreased(0.01093--->0.01093) 	 Saving The Model
Validation Loss Decreased(0.01093--->0.01093) 	 Saving The Model
Validation Loss Decreased(0.01093--->0.01093) 	 Saving The Model
Validation Loss Decreased(0.01093--->0.01093) 	 Saving The Model
Validation Loss Decreased(0.01093--->0.01093) 	 Saving The Model
Validation Loss Decreased(0.01093--->0.01093) 	 Saving The Model
Validation Loss Decreased(0.01093--->0.01093) 	 Saving The Model
Validation Loss Decreased(0.01093--->0.01092) 	 Saving The Model
Validation Loss Decreased(0.01092--->0.01092) 	 Saving The Model
Validation Loss Decreased(0.01092--->0.01092) 	 Saving The Model
Epoch 300 		 Training Loss: 0.00955 		 Validation Loss: 0.01092
Validation Loss Decreased(0.01092--->0.01092) 	 Saving The Model
Validation Loss Decreased(0.01092--->0.01092) 	 Saving The Model
Validation Loss Decreased(0.01092--->0.01092) 	 Saving The Model
Validation Loss Decreased(0.01092--->0.01092) 	 Saving The Model
Validation Loss Decreased(0.01092--->0.01092) 	 Saving The Model
Validation Loss Decreased(0.01092--->0.01092) 	 Saving The Model
Validation Loss Decreased(0.01092--->0.01092) 	 Saving The Model
Validation Loss Decreased(0.01092--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01090) 	 Saving The Model
Validation Loss Decreased(0.01090--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Epoch 400 		 Training Loss: 0.00950 		 Validation Loss: 0.01089
Validation Loss Decreased(0.01089--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01088) 	 Saving The Model
Validation Loss Decreased(0.01088--->0.01088) 	 Saving The Model
Validation Loss Decreased(0.01088--->0.01088) 	 Saving The Model
Validation Loss Decreased(0.01088--->0.01088) 	 Saving The Model
Validation Loss Decreased(0.01088--->0.01088) 	 Saving The Model
Validation Loss Decreased(0.01088--->0.01088) 	 Saving The Model
Validation Loss Decreased(0.01088--->0.01088) 	 Saving The Model
Validation Loss Decreased(0.01088--->0.01087) 	 Saving The Model
Validation Loss Decreased(0.01087--->0.01087) 	 Saving The Model
Validation Loss Decreased(0.01087--->0.01087) 	 Saving The Model
Validation Loss Decreased(0.01087--->0.01087) 	 Saving The Model
Validation Loss Decreased(0.01087--->0.01086) 	 Saving The Model
Validation Loss Decreased(0.01086--->0.01086) 	 Saving The Model
Validation Loss Decreased(0.01086--->0.01086) 	 Saving The Model
Validation Loss Decreased(0.01086--->0.01086) 	 Saving The Model
Validation Loss Decreased(0.01086--->0.01085) 	 Saving The Model
Validation Loss Decreased(0.01085--->0.01085) 	 Saving The Model
Validation Loss Decreased(0.01085--->0.01085) 	 Saving The Model
Validation Loss Decreased(0.01085--->0.01085) 	 Saving The Model
Validation Loss Decreased(0.01085--->0.01085) 	 Saving The Model
Validation Loss Decreased(0.01085--->0.01084) 	 Saving The Model
Validation Loss Decreased(0.01084--->0.01084) 	 Saving The Model
Validation Loss Decreased(0.01084--->0.01084) 	 Saving The Model
Validation Loss Decreased(0.01084--->0.01084) 	 Saving The Model
Validation Loss Decreased(0.01084--->0.01083) 	 Saving The Model
Validation Loss Decreased(0.01083--->0.01083) 	 Saving The Model
Validation Loss Decreased(0.01083--->0.01082) 	 Saving The Model
Validation Loss Decreased(0.01082--->0.01082) 	 Saving The Model
Validation Loss Decreased(0.01082--->0.01081) 	 Saving The Model
Validation Loss Decreased(0.01081--->0.01081) 	 Saving The Model
Validation Loss Decreased(0.01081--->0.01080) 	 Saving The Model
Validation Loss Decreased(0.01080--->0.01079) 	 Saving The Model
Validation Loss Decreased(0.01079--->0.01078) 	 Saving The Model
Validation Loss Decreased(0.01078--->0.01077) 	 Saving The Model
Validation Loss Decreased(0.01077--->0.01076) 	 Saving The Model
Validation Loss Decreased(0.01076--->0.01075) 	 Saving The Model
Validation Loss Decreased(0.01075--->0.01072) 	 Saving The Model
Validation Loss Decreased(0.01072--->0.01066) 	 Saving The Model
Validation Loss Decreased(0.01066--->0.01063) 	 Saving The Model
Validation Loss Decreased(0.01063--->0.01057) 	 Saving The Model
Validation Loss Decreased(0.01057--->0.01055) 	 Saving The Model
Validation Loss Decreased(0.01055--->0.01048) 	 Saving The Model
Validation Loss Decreased(0.01048--->0.01047) 	 Saving The Model
Validation Loss Decreased(0.01047--->0.01044) 	 Saving The Model
Validation Loss Decreased(0.01044--->0.01043) 	 Saving The Model
Validation Loss Decreased(0.01043--->0.01043) 	 Saving The Model
Epoch 500 		 Training Loss: 0.00892 		 Validation Loss: 0.01053
Epoch 600 		 Training Loss: 0.00851 		 Validation Loss: 0.01094
Epoch 700 		 Training Loss: 0.00817 		 Validation Loss: 0.01142
Epoch 800 		 Training Loss: 0.00759 		 Validation Loss: 0.01196
Epoch 900 		 Training Loss: 0.00745 		 Validation Loss: 0.01369
Epoch 1000 		 Training Loss: 0.00593 		 Validation Loss: 0.01360
Epoch 1100 		 Training Loss: 0.00528 		 Validation Loss: 0.01497
Epoch 1200 		 Training Loss: 0.00491 		 Validation Loss: 0.01737
Epoch 1300 		 Training Loss: 0.00445 		 Validation Loss: 0.01812
Epoch 1400 		 Training Loss: 0.00431 		 Validation Loss: 0.01914
Epoch 1500 		 Training Loss: 0.00401 		 Validation Loss: 0.02006
Epoch 1600 		 Training Loss: 0.00394 		 Validation Loss: 0.02172
Epoch 1700 		 Training Loss: 0.00353 		 Validation Loss: 0.02128
Epoch 1800 		 Training Loss: 0.00356 		 Validation Loss: 0.02201
Epoch 1900 		 Training Loss: 0.00325 		 Validation Loss: 0.02248
Epoch 2000 		 Training Loss: 0.00311 		 Validation Loss: 0.02329
Epoch 2100 		 Training Loss: 0.00314 		 Validation Loss: 0.02329
Epoch 2200 		 Training Loss: 0.00311 		 Validation Loss: 0.02502
Epoch 2300 		 Training Loss: 0.00285 		 Validation Loss: 0.02607
Epoch 2400 		 Training Loss: 0.00275 		 Validation Loss: 0.02576
Stopping the training early		Model saved
	Training Loss: 0.002661010716110468
	Validation Loss: 0.010433966293931007




RMSE of validation set: 6.07679855850659
RMSE of entire data set: 3.33724355412969




--------------------NEW LOG--------------------
Logger started at: 2021-9-24 17:49:23
	Number of epochs :	4000
	Learning Rate :	0.01
	Input size : 1
	Number of layers : 1
	Number of classes : 1
	Loss function : MSE
	Optimizer : ADAM
	 :Training model
------------------
Validation Loss Decreased(inf--->0.19419) 	 Saving The Model
Validation Loss Decreased(0.19419--->0.14635) 	 Saving The Model
Validation Loss Decreased(0.14635--->0.10732) 	 Saving The Model
Validation Loss Decreased(0.10732--->0.07491) 	 Saving The Model
Validation Loss Decreased(0.07491--->0.04825) 	 Saving The Model
Validation Loss Decreased(0.04825--->0.02794) 	 Saving The Model
Validation Loss Decreased(0.02794--->0.01610) 	 Saving The Model
Validation Loss Decreased(0.01610--->0.01564) 	 Saving The Model
